12-19-2020 09:46:03-ViewMain - AvailInfo()-Could not find a part of the path 'D:\suba\15122020\Tilt_Switch_System - Copy\Tilt_Switch_System\bin\Debug\logoimage\leftlogo\hm_LOGO.png'.
12-19-2020 09:51:08-ViewMain - AvailInfo()-Could not find a part of the path 'D:\suba\15122020\Tilt_Switch_System - Copy\Tilt_Switch_System\bin\Debug\logoimage\leftlogo\hm_LOGO.png'.
12-19-2020 09:51:12-ViewMain - btnSettings_Click()-Could not find a part of the path 'D:\suba\15122020\Tilt_Switch_System - Copy\Tilt_Switch_System\bin\Debug\logoimage\leftlogo\hm_LOGO.png'.
12-19-2020 09:51:39-The process cannot access the file 'D:\Swathi\_Working\Tilt_Switch_System - Copy\Tilt_Switch_System\bin\Debug\logoimage\leftlogo\LOGO.JPG' because it is being used by another process. - SettingScreen-browseImage
12-19-2020 09:51:42-SettingScreen - btnCancel_Click()-Could not find a part of the path 'D:\suba\15122020\Tilt_Switch_System - Copy\Tilt_Switch_System\bin\Debug\logoimage\leftlogo\hm_LOGO.png'.
12-19-2020 09:51:51-SettingScreen - btnHdrSave_Click()-Could not find a part of the path 'D:\suba\15122020\Tilt_Switch_System - Copy\Tilt_Switch_System\bin\Debug\logoimage\leftlogo\hm_LOGO.png'.
12-19-2020 09:52:20-Could not find file 'D:\Swathi\_Working\Tilt_Switch_System - Copy\Tilt_Switch_System\bin\Debug\logoimage\leftlogo\hm_LOGO.png'. - SettingScreen-browseImage
12-19-2020 12:21:47-ViewMain - CommStatus()-Access to the port 'COM2' is denied.
12-19-2020 12:21:47-ViewMain - CommStatus()-Access to the port 'COM2' is denied.
12-19-2020 12:21:47-ViewMain - CommStatus()-Access to the port 'COM2' is denied.
12-19-2020 12:21:47-ViewMain - CommStatus()-Access to the port 'COM2' is denied.
12-19-2020 12:21:48-ViewMain - CommStatus()-Access to the port 'COM2' is denied.
12-19-2020 12:21:48-ViewMain - CommStatus()-Access to the port 'COM2' is denied.
12-19-2020 12:21:48-ViewMain - CommStatus()-Access to the port 'COM2' is denied.
12-19-2020 12:21:48-ViewMain - CommStatus()-Access to the port 'COM2' is denied.
12-19-2020 12:21:48-ViewMain - CommStatus()-Access to the port 'COM2' is denied.
12-19-2020 12:21:48-ViewMain - CommStatus()-Access to the port 'COM2' is denied.
12-19-2020 12:21:48-ViewMain - CommStatus()-Access to the port 'COM2' is denied.
12-19-2020 12:21:48-ViewMain - CommStatus()-Access to the port 'COM2' is denied.
12-19-2020 12:21:48-ViewMain - CommStatus()-Access to the port 'COM2' is denied.
12-19-2020 12:21:49-ViewMain - CommStatus()-Access to the port 'COM2' is denied.
12-19-2020 12:21:49-ViewMain - CommStatus()-Access to the port 'COM2' is denied.
12-19-2020 12:21:49-ViewMain - CommStatus()-Access to the port 'COM2' is denied.
12-19-2020 12:21:49-ViewMain - CommStatus()-Access to the port 'COM2' is denied.
12-19-2020 12:21:49-ViewMain - CommStatus()-Access to the port 'COM2' is denied.
12-19-2020 12:21:49-ViewMain - CommStatus()-Access to the port 'COM2' is denied.
12-19-2020 12:21:49-ViewMain - CommStatus()-Access to the port 'COM2' is denied.
12-19-2020 12:21:49-ViewMain - CommStatus()-Access to the port 'COM2' is denied.
12-19-2020 12:21:49-ViewMain - CommStatus()-Access to the port 'COM2' is denied.
12-19-2020 12:21:49-ViewMain - CommStatus()-Access to the port 'COM2' is denied.
12-19-2020 12:21:50-ViewMain - CommStatus()-Access to the port 'COM2' is denied.
12-19-2020 12:21:50-ViewMain - CommStatus()-Access to the port 'COM2' is denied.
12-19-2020 12:21:50-ViewMain - CommStatus()-Access to the port 'COM2' is denied.
12-19-2020 12:21:50-ViewMain - CommStatus()-Access to the port 'COM2' is denied.
12-19-2020 12:21:50-ViewMain - CommStatus()-Access to the port 'COM2' is denied.
12-19-2020 12:21:50-ViewMain - CommStatus()-Access to the port 'COM2' is denied.
12-19-2020 12:21:50-ViewMain - CommStatus()-Access to the port 'COM2' is denied.
12-19-2020 12:21:50-ViewMain - CommStatus()-Access to the port 'COM2' is denied.
12-19-2020 12:21:50-ViewMain - CommStatus()-Access to the port 'COM2' is denied.
12-19-2020 12:21:51-ViewMain - CommStatus()-Access to the port 'COM2' is denied.
12-19-2020 12:21:51-ViewMain - CommStatus()-Access to the port 'COM2' is denied.
12-19-2020 12:21:51-ViewMain - CommStatus()-Access to the port 'COM2' is denied.
12-19-2020 12:21:51-ViewMain - CommStatus()-Access to the port 'COM2' is denied.
12-19-2020 12:21:51-ViewMain - CommStatus()-Access to the port 'COM2' is denied.
12-19-2020 12:21:51-ViewMain - CommStatus()-Access to the port 'COM2' is denied.
12-19-2020 12:21:51-ViewMain - CommStatus()-Access to the port 'COM2' is denied.
12-19-2020 12:21:51-ViewMain - CommStatus()-Access to the port 'COM2' is denied.
12-19-2020 12:21:51-ViewMain - CommStatus()-Access to the port 'COM2' is denied.
12-19-2020 12:21:52-ViewMain - CommStatus()-Access to the port 'COM2' is denied.
12-19-2020 12:21:52-ViewMain - CommStatus()-Access to the port 'COM2' is denied.
12-19-2020 12:21:52-ViewMain - CommStatus()-Access to the port 'COM2' is denied.
12-19-2020 12:21:52-ViewMain - CommStatus()-Access to the port 'COM2' is denied.
12-19-2020 12:21:52-ViewMain - CommStatus()-Access to the port 'COM2' is denied.
12-19-2020 12:21:52-ViewMain - CommStatus()-Access to the port 'COM2' is denied.
12-19-2020 12:21:52-ViewMain - CommStatus()-Access to the port 'COM2' is denied.
12-19-2020 12:21:52-ViewMain - CommStatus()-Access to the port 'COM2' is denied.
12-19-2020 12:21:52-ViewMain - CommStatus()-Access to the port 'COM2' is denied.
12-19-2020 12:21:53-ViewMain - CommStatus()-Access to the port 'COM2' is denied.
12-19-2020 12:21:53-ViewMain - CommStatus()-Access to the port 'COM2' is denied.
12-19-2020 12:21:53-ViewMain - CommStatus()-Access to the port 'COM2' is denied.
12-19-2020 12:21:53-ViewMain - CommStatus()-Access to the port 'COM2' is denied.
12-19-2020 12:21:53-ViewMain - CommStatus()-Access to the port 'COM2' is denied.
12-19-2020 12:21:53-ViewMain - CommStatus()-Access to the port 'COM2' is denied.
12-19-2020 12:21:53-ViewMain - CommStatus()-Access to the port 'COM2' is denied.
12-19-2020 12:21:53-ViewMain - CommStatus()-Access to the port 'COM2' is denied.
12-19-2020 12:21:53-ViewMain - CommStatus()-Access to the port 'COM2' is denied.
12-19-2020 12:21:54-ViewMain - CommStatus()-Access to the port 'COM2' is denied.
12-19-2020 12:21:54-ViewMain - CommStatus()-Access to the port 'COM2' is denied.
12-19-2020 12:21:54-ViewMain - CommStatus()-Access to the port 'COM2' is denied.
12-19-2020 12:21:54-ViewMain - CommStatus()-Access to the port 'COM2' is denied.
12-19-2020 12:21:54-ViewMain - CommStatus()-Access to the port 'COM2' is denied.
12-19-2020 12:21:54-ViewMain - CommStatus()-Access to the port 'COM2' is denied.
12-19-2020 12:21:54-ViewMain - CommStatus()-Access to the port 'COM2' is denied.
12-19-2020 12:21:54-ViewMain - CommStatus()-Access to the port 'COM2' is denied.
12-19-2020 12:21:54-ViewMain - CommStatus()-Access to the port 'COM2' is denied.
12-19-2020 12:21:54-ViewMain - CommStatus()-Access to the port 'COM2' is denied.
12-19-2020 12:21:55-ViewMain - CommStatus()-Access to the port 'COM2' is denied.
12-19-2020 12:21:55-ViewMain - CommStatus()-Access to the port 'COM2' is denied.
12-19-2020 12:21:55-ViewMain - CommStatus()-Access to the port 'COM2' is denied.
12-19-2020 12:21:55-ViewMain - CommStatus()-Access to the port 'COM2' is denied.
12-19-2020 12:21:55-ViewMain - CommStatus()-Access to the port 'COM2' is denied.
12-19-2020 12:21:55-ViewMain - CommStatus()-Access to the port 'COM2' is denied.
12-19-2020 12:21:55-ViewMain - CommStatus()-Access to the port 'COM2' is denied.
12-19-2020 12:21:55-ViewMain - CommStatus()-Access to the port 'COM2' is denied.
12-19-2020 12:21:55-ViewMain - CommStatus()-Access to the port 'COM2' is denied.
12-19-2020 12:21:56-ViewMain - CommStatus()-Access to the port 'COM2' is denied.
12-19-2020 12:21:56-ViewMain - CommStatus()-Access to the port 'COM2' is denied.
12-19-2020 12:21:56-ViewMain - CommStatus()-Access to the port 'COM2' is denied.
12-19-2020 12:21:56-ViewMain - CommStatus()-Access to the port 'COM2' is denied.
12-19-2020 12:21:56-ViewMain - CommStatus()-Access to the port 'COM2' is denied.
12-19-2020 12:21:56-ViewMain - CommStatus()-Access to the port 'COM2' is denied.
12-19-2020 12:21:56-ViewMain - CommStatus()-Access to the port 'COM2' is denied.
12-19-2020 12:21:56-ViewMain - CommStatus()-Access to the port 'COM2' is denied.
12-19-2020 12:21:56-ViewMain - CommStatus()-Access to the port 'COM2' is denied.
